fx_Unnamed: 0,fx_Date,fx_Time,fx_Round,fx_Day,fx_Venue,fx_Result,fx_GF,fx_GA,fx_Team,fx_Opponent,fx_Possession,fx_Formation,fx_Transfers - Home,fx_Shots,fx_SoT%,fx_G/SoT,fx_Avg. Distance of Shots,fx_FK Shots,fx_PK,fx_SoT Against,fx_Save%,fx_Clean Sheet,fx_PK Allowed,fx_# Defensive Actions OPA,fx_Live Passes,fx_Passes Completed,fx_Passes Under Pressure,fx_Ground Passes,fx_High Passes,fx_Shot-Creating Actions,fx_Presses (Applied),fx_Successful Dribbles,fx_Red Cards,fx_Yellow Cards,fx_Fouls,fx_Own Goals,fx_Aerial Battles Won (%),fx_kickoff,fx_team_norm,fx_side,epl_Unnamed: 0,epl_h_a,epl_xG,epl_xGA,epl_npxG,epl_npxGA,epl_deep,epl_deep_allowed,epl_scored,epl_missed,epl_xpts,epl_result,epl_date,epl_wins,epl_draws,epl_loses,epl_pts,epl_npxGD,epl_teamId,epl_ppda_cal,epl_allowed_ppda,epl_matchtime,epl_tot_points,epl_round,epl_tot_goal,epl_tot_con,epl_Referee.x,epl_HS.x,epl_HST.x,epl_HF.x,epl_HC.x,epl_HY.x,epl_HR.x,epl_AS.x,epl_AST.x,epl_AF.x,epl_AC.x,epl_AY.x,epl_AR.x,epl_B365H.x,epl_B365D.x,epl_B365A.x,epl_HtrgPerc,epl_AtrgPerc,epl_matchDay,epl_kickoff,epl_team_norm,epl_side,_merge
0,10/08/2019,15:00,Matchweek 1,Sat,Home,L,0,3,Watford,Brighton,50,4-2-2-2,50.4,11,27.3,0.0,20.6,2,0,3,0.0,0,0,0,402,354,34,269,88,15,251,66.7,0,0,15,1,33.3,2019-08-10 15:00:00,watford,h,12,h,0.670022,0.855516,0.670022,0.855516,7,5,0,3,1.0922,l,8/10/2019 15:00,0,0,1,0,-0.185494,Watford,9.785714286,11.5,15,0,1,0,3,C Pawson,11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4,0.272727273,0.6,Sat,2019-08-10 15:00:00,watford,h,both
0,10/08/2019,15:00,Matchweek 1,Sat,Away,D,0,0,Everton,Crystal Palace,65,4-2-3-1,106.6,10,20.0,0.0,15.5,0,0,2,100.0,1,0,0,493,443,50,329,169,13,136,41.2,1,3,13,0,40.0,2019-08-10 15:00:00,everton,a,9,a,1.2246,0.87159,1.2246,0.87159,5,5,0,0,1.6257,d,8/10/2019 15:00,0,1,0,1,0.35301,Everton,4.074074074,11.30769231,15,1,1,0,0,J Moss,6,2,16,6,2,0,10,3,14,2,1,1,3,3.25,2.37,0.333333333,0.3,Sat,2019-08-10 15:00:00,everton,a,both
0,10/08/2019,17:30,Matchweek 1,Sat,Home,W,3,1,Tottenham Hotspur,Aston Villa,70,4-4-2,115.2,30,23.3,0.43,18.4,2,0,4,75.0,0,0,0,592,552,56,481,95,47,145,52.0,0,1,14,0,52.4,2019-08-10 17:30:00,tottenham,h,14,h,2.57262,0.639599,2.57262,0.639599,15,2,3,1,2.5933,w,8/10/2019 17:30,1,0,0,3,1.933021,Tottenham,5.25,13.42105263,17,3,1,3,1,C Kavanagh,31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806452,0.571428571,Sat,2019-08-10 17:30:00,tottenham,h,both
0,10/08/2019,17:30,Matchweek 1,Sat,Away,L,1,3,Aston Villa,Tottenham,30,4-1-4-1,143.1,7,57.1,0.25,19.3,0,0,7,57.1,0,0,1,237,212,68,175,65,10,153,77.8,0,0,11,0,47.6,2019-08-10 17:30:00,aston villa,a,13,a,0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,l,8/10/2019 17:30,0,0,1,0,-1.933021,Aston Villa,13.42105263,5.25,17,0,1,1,3,C Kavanagh,31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806452,0.571428571,Sat,2019-08-10 17:30:00,aston villa,a,both
0,11/08/2019,14:00,Matchweek 1,Sun,Away,W,1,0,Arsenal,Newcastle Utd,61,4-2-3-1,137.5,7,28.6,0.5,14.1,0,0,2,100.0,1,0,3,600,560,87,513,64,14,237,64.7,0,3,7,0,33.3,2019-08-11 14:00:00,arsenal,a,15,a,1.13309,0.380551,1.13309,0.380551,10,1,1,0,2.073,w,8/11/2019 14:00,1,0,0,3,0.752539,Arsenal,11.05263158,13.20689655,14,3,1,1,0,M Atkinson,9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222,0.25,Sun,2019-08-11 14:00:00,arsenal,a,both
0,11/08/2019,14:00,Matchweek 1,Sun,Home,L,0,1,Newcastle United,Arsenal,39,3-5-2,60.66,10,20.0,0.0,20.1,0,0,2,50.0,0,0,1,363,313,128,245,94,15,254,66.7,0,1,13,0,66.7,2019-08-11 14:00:00,newcastle united,h,17,h,0.380551,1.13309,0.380551,1.13309,1,10,0,1,0.6213,l,8/11/2019 14:00,0,0,1,0,-0.752539,Newcastle United,13.20689655,11.05263158,14,0,1,0,1,M Atkinson,9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222,0.25,Sun,2019-08-11 14:00:00,newcastle united,h,both
0,11/08/2019,14:00,Matchweek 1,Sun,Home,D,0,0,Leicester City,Wolves,69,4-1-4-1,93.87,17,5.9,0.0,21.1,0,0,2,100.0,1,0,0,648,589,43,512,115,21,175,61.5,0,0,6,0,56.8,2019-08-11 14:00:00,leicester,h,16,h,0.543759,0.812949,0.543759,0.812949,7,3,0,0,1.0341,d,8/11/2019 14:00,0,1,0,1,-0.26919,Leicester,6.434782609,18.66666667,14,1,1,0,0,A Marriner,15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.066666667,0.25,Sun,2019-08-11 14:00:00,leicester,h,both
3,11/08/2019,14:00,Matchweek 1,Sun,Away,D,0,0,Wolverhampton Wanderers,Leicester City,31,3-5-2,105.0,7,28.6,0.0,16.6,0,0,1,100.0,1,0,0,271,224,66,129,130,12,149,61.3,0,2,14,0,43.2,2019-08-11 14:00:00,wolves,a,18,a,0.812949,0.543759,0.812949,0.543759,3,7,0,0,1.584,d,8/11/2019 14:00,0,1,0,1,0.26919,Wolves,18.66666667,6.434782609,14,1,1,0,0,A Marriner,15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.066666667,0.25,Sun,2019-08-11 14:00:00,wolves,a,both
0,11/08/2019,16:30,Matchweek 1,Sun,Away,L,0,4,Chelsea,Manchester Utd,54,4-2-3-1,40.5,18,38.9,0.0,18.6,0,0,4,25.0,0,1,0,512,470,131,428,73,29,213,58.3,0,4,16,0,29.4,2019-08-11 16:30:00,chelsea,a,19,a,1.09534,2.37442,1.09534,1.61326,4,8,0,4,0.4992,l,8/11/2019 16:30,0,0,1,0,-0.51792,Chelsea,6.452380952,9.064516129,16,0,1,0,4,A Taylor,11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545455,0.388888889,Sun,2019-08-11 16:30:00,chelsea,a,both
0,11/08/2019,16:30,Matchweek 1,Sun,Home,W,4,0,Manchester United,Chelsea,46,4-2-3-1,200.5,10,40.0,0.75,17.7,0,1,7,100.0,1,0,0,439,393,110,377,62,19,230,59.3,0,3,18,0,70.6,2019-08-11 16:30:00,man utd,h,20,h,2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,w,8/11/2019 16:30,1,0,0,3,0.51792,Man Utd,9.064516129,6.452380952,16,3,1,4,0,A Taylor,11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545455,0.388888889,Sun,2019-08-11 16:30:00,man utd,h,both
1,17/08/2019,12:30,Matchweek 2,Sat,Away,L,1,2,Burnley,Arsenal,33,4-4-2,21.47,17,23.5,0.25,13.9,0,0,9,77.8,0,0,3,223,180,42,119,105,18,116,63.6,0,1,17,0,55.9,2019-08-17 12:30:00,burnley,a,22,a,1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631,l,8/17/2019 12:30,0,0,1,0,0.22732,Burnley,11.38461538,5.3125,12,3,2,4,2,M Dean,16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777778,Sat,2019-08-17 12:30:00,burnley,a,both
1,17/08/2019,12:30,Matchweek 2,Sat,Home,W,2,1,Arsenal,Burnley,67,4-2-3-1,137.5,16,56.3,0.22,17.9,0,0,4,75.0,0,0,0,505,475,72,419,76,27,76,57.9,0,2,13,0,44.1,2019-08-17 12:30:00,arsenal,h,21,h,1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,w,8/17/2019 12:30,1,0,0,3,-0.22732,Arsenal,5.3125,11.38461538,12,6,2,3,1,M Dean,16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777778,Sat,2019-08-17 12:30:00,arsenal,h,both
1,17/08/2019,15:00,Matchweek 2,Sat,Home,D,1,1,Brighton and Hove Albion,West Ham,57,3-4-3,55.56,17,23.5,0.25,16.5,0,0,3,66.7,0,0,1,480,434,130,320,136,29,173,45.5,0,0,16,0,60.0,2019-08-17 15:00:00,brighton,h,25,h,2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,d,8/17/2019 15:00,0,1,0,1,1.39605,Brighton,5.485714286,8.870967742,15,4,2,4,1,A Taylor,16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,Sat,2019-08-17 15:00:00,brighton,h,both
1,17/08/2019,15:00,Matchweek 2,Sat,Away,L,1,3,Newcastle United,Norwich City,37,3-5-2,60.66,12,25.0,0.33,15.4,0,0,8,62.5,0,0,1,318,279,71,233,75,15,184,61.1,0,3,14,0,40.9,2019-08-17 15:00:00,newcastle united,a,28,a,0.920429,2.09572,0.920429,2.09572,6,9,1,3,0.565,l,8/17/2019 15:00,0,0,1,0,-1.175291,Newcastle United,17.5,13.92857143,15,0,2,1,4,S Attwell,15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333,0.3,Sat,2019-08-17 15:00:00,newcastle united,a,both
1,17/08/2019,15:00,Matchweek 2,Sat,Away,W,2,1,Bournemouth,Aston Villa,37,4-4-1-1,46.99,11,27.3,0.33,18.5,0,1,7,85.7,0,0,0,275,230,51,174,102,21,195,40.0,0,2,16,0,37.0,2019-08-17 15:00:00,bournemouth,a,24,a,1.62777,1.65069,0.866605,1.65069,9,12,2,1,1.3578,w,8/17/2019 15:00,1,0,0,3,-0.784085,Bournemouth,10.72,13,15,4,2,3,2,M Atkinson,22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818,0.333333333,Sat,2019-08-17 15:00:00,bournemouth,a,both
1,17/08/2019,15:00,Matchweek 2,Sat,Home,W,1,0,Everton,Watford,44,4-2-3-1,106.6,12,16.7,0.5,19.0,1,0,2,100.0,1,0,0,283,238,44,192,89,18,134,72.0,0,2,13,0,48.0,2019-08-17 15:00:00,everton,h,26,h,0.832913,1.17279,0.832913,1.17279,4,3,1,0,1.015,w,8/17/2019 15:00,1,0,0,3,-0.339877,Everton,8.863636364,3.925,15,4,2,1,0,L Mason,12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666667,0.25,Sat,2019-08-17 15:00:00,everton,h,both
1,17/08/2019,15:00,Matchweek 2,Sat,Home,W,3,1,Norwich City,Newcastle Utd,63,4-2-3-1,5.23,15,53.3,0.38,14.0,0,0,3,66.7,0,0,0,574,536,87,489,79,28,148,69.6,0,1,11,0,59.1,2019-08-17 15:00:00,norwich,h,29,h,2.09572,0.920429,2.09572,0.920429,9,6,3,1,2.2375,w,8/17/2019 15:00,1,0,0,3,1.175291,Norwich,13.92857143,17.5,15,3,2,4,5,S Attwell,15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333,0.3,Sat,2019-08-17 15:00:00,norwich,h,both
1,17/08/2019,15:00,Matchweek 2,Sat,Home,L,1,2,Southampton,Liverpool,37,3-5-2,51.75,11,27.3,0.33,16.8,0,0,5,60.0,0,0,1,286,225,48,163,116,12,173,76.9,0,2,12,0,37.5,2019-08-17 15:00:00,southampton,h,30,h,2.14047,1.52022,2.14047,1.52022,1,6,1,2,1.8259,l,8/17/2019 15:00,0,0,1,0,0.62025,Southampton,12,9.428571429,15,0,2,1,5,A Marriner,14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714,0.4,Sat,2019-08-17 15:00:00,southampton,h,both
1,17/08/2019,15:00,Matchweek 2,Sat,Home,L,1,2,Aston Villa,Bournemouth,63,4-3-3,143.1,22,31.8,0.14,17.1,1,0,3,66.7,0,1,0,486,440,145,335,125,38,104,28.6,0,0,11,0,63.0,2019-08-17 15:00:00,aston villa,h,23,h,1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,l,8/17/2019 15:00,0,0,1,0,0.784085,Aston Villa,13,10.72,15,0,2,2,5,M Atkinson,22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818,0.333333333,Sat,2019-08-17 15:00:00,aston villa,h,both
